accabler;	bedrücken, niederdrücken
la vermine;		das Gewürm, Ungeziefer
l'aveu (m);		das Geständnis, Eingeständnis
le benêt;		der Dummkopf
le blaireau;		der Einfaltspinsel
le bouclier;		der Schutzschild
le bouleversement;	der Umsturz, die Umwälzung
le bouquin;	das Buch
le bourdonnement;	das Gebrumme, das Summen
le bric-à-brac;		das Gerümpel, der Ramsch
le briseur;		der Brecher (z.B. Streikbrecher)
le brouhaha;		das Stimmengewirr
le calmar;		der Tintenfisch
le caquet;		das Geschwätz
le carquois;		der Köcher
le castor;		der Biber
le catogan;		die Haarschleife
le chambardement;	der Umsturz
le chantage;	die Erpressung
le cierge;		die Kerze, Wachskerze | Wunderkerze
le clapotis;		das Plätschern
le cobaye;		das Versuchskaninchen
le combiné;		der Hörer (Telefon)
le cran;	der Schneid, Mut, Kühnheit | auch die Stufe, der Türschlitz
le croassement;		das Krächzen
le dais;	der Baldachin
le délire de la persécution;	Verfolgungswahn
le désarroi;		die Ratlosigkeit
le dingue;		der Verrückte
le faisceau;	das Bündel, die Garbe
le fardeau;	die Bürde, Last
le farfadet;	der Kobold
l'effervescence (f);	die Hektik | das Sprudeln, die Wallung
le filin;		die Leine
le flou;		die Unklarheit (Argumentation), Unschärfe
le foulard;		der Schal, seidenes Halstuch
le frayeur;		der Schreckend
le gingembre;	der Ingwer
le gloussement;		das Glucksen
le gouffre;		der Abgrund
le goulot;	der Flaschenhals | auch übertragen: Engpass
l'égratignure (f);	der Kratzer
le groin;			Fratze, Rüssel, Schnauze
le guetteur;		der Späher
le jabot;			Hemdkrause
le jacassement;		der Schrei
l'embarras (m);			die Verlegenheit, der Schlamassel
le meneur;		der Anführer
le môme;			der Knirps (la môme: junges Mädchen)
le monticule;		der Hügel, die Anhöhe
l'encolure;		der Hals
le nid;			das Nest
le pagne;			Schurz, Lendenschurz
le pantin;			der Hampelmann
le parapet;		die Brüstung
le pêle-mêle;		das Durcheinander, der Mischmasch
le perchoir;			die Stange
le perron;			die Außentreppe
le piton;		der Felshaken
le porcelet;		das Ferkel
le pote;		der Kumpel, Kamerad
le poulain;		das Fohlen
le pourriture;			die Fäulnis, der Moder
le pus;		der Eiter
le rabat-joie;		der Miesepeter, Spielverderber
le sablier;		die Sanduhr
l'esclavage (m);		die Sklaverei
le sillage;			das Kielwasser
les mœurs;		die Sitten, Anstandsregeln
le solstice;		die Sonnenwende
le soutien;			der Rückhalt, die Rückendeckung
le tatouage;	die Tätowierung
le tatou;	das Gürteltier
l'étau (m);		der Schraubstock
le tourment;	die Marter, Plage, Pein
le trousseau de clés;	der Schlüsselbund
le vertige;			der Schwindel, das Schwindelgefühl
le voyou;	der Gauner, Strolch
l'exaspération;			Erbitterung, Verärgerung
l'hennissement (m);	das Wiehern
l'heurtoir (m);	der Türklopfer
l'if (m);	die Eibe
l'infraction (m);		der Gesetzesbruch, der Regelverstoß
l'insouciance;			Leichtsinnigkeit, Sorglosigkeit
l'interstice (m);	der Zwischenraum
livide;			aschfahl, leichenblass
livrer qc.;		etwas anliefern
l'ombre (f);		die Schemen | auch Schatten, Dunkelheit
l'ordure (f);			der Abfall, Müll
l'ouragan (m);		der Orkan
l'ourlet;	der Saum (Kleidung)
lugubre;			düster, schaurig
maladif;			krankhaft, kränklich
marécage;		das Moor, der Sumpf
maussade;			missmutig, säuerlich, griesgrämig
mauve;			malvenfarbig (violett)
méfiant;			misstrauisch
mielleux;		honigsüß
mijoter qc.;			etw. ausbrüten, aushecken
moisi;				moderig, muffig
nacré;			perlmuttfarben
noirci;				geschwärzt
noueux;				knorrig, knotenartig
palpable;	greifbar | handgreiflich
pâteuse;		teigig, klitschig, pappig
peiné;			betrübt
pelotonner;		etwas knäueln
piailler;			kreischen
piétiner;			herumtrampeln
pinailler;			kleinlich, pingelisch sein
prendre la relève de qn.;	die Nachfolge von jem. antreten
puant;			stinkend, widerlich, unerträglich
rafistoler qc.;			etw. notdürftig flicken
saccagé;			geplündert
saccager qc.;		etw. plündern, verwüsten
sceller qc.;		etw. versiegeln
se faire un sang d'encre;	sich furchtbare Sorgen machen
s'emparer de qc.;	etwas in seine Gewalt bringen
s'engouffrer dans qc.;		sich in etwas hereindrängen | auch ergießen
se nouer;			sich anbahnen
sereinement;		gelassen
serein;			fröhlich, heiter, ruhig
suave;			lieblich
téméraire;		kühn, tollkühn, verwegen
tintinnabuler;			klingeln
titubant;			schwankend
tortueux;	gewunden, verwinkelt
vainement;		vergeblich
velouté;		samtig, samtweich
verni;			lackiert
visqueux;			schleimig, dickflüssig, zähflüssig
vouer;				geloben, schwören | weihen, widmen
voûté;				gewölbt, krumm
