a foul mood;	eine üble Laune
the blacktop;	                        die Teerdecke
the blasting;	                        die Sprengarbeit
the blemish;	der Fehler, Makel
the blow-dryer;	der Föhn
the blowhard;	der Angeber | Aufschneider
the bluff;	                die Klippe, der Steilhang
the bolt;	                der Bolzen
the booth;	                die Bude
the booze;	der Schnaps | der Suff | die Sauftour
the brink;	                        die Kante, der Rand, der Saum
the buff;	                das Leder
the bulwark;	das Bollwerk
the bunk;	die Koje
the bustle;	der Betrieb, die Geschäftigkeit, die Hektik
the cabal;	die Kabale
the caliper;	                die Zange
the camper;	der Camper | das Wohnmobil
the canniness;	                die Sparsamkeit
the canvas;	                das Gemälde, die Leinwand | das Segeltuch, der Zellstoff
the capstone;	                der Abdeckstein, die Mauerkrone
the cardigan;	die wollene Strickjacke, der Strickpullover
the Chautauqua;	                öffentliche Veranstaltung zur Unterhaltung und Volksbildung
the citizenry;	                die Bürgerschaft
the cleavage;	                die Spaltung, Teilung | die Spalte, der Zwiespalt
the clout;	die Schlagkraft, Macht, das Durchsetzungsvermögen
the coalescence;	        das Verschmelzen, die Vereinigung, das Zusammenfließen
the cognizance;	                die Befugnis, Erkenntnis, Zuständigkeit, Mitwisserschaft
the commoner;	der Bürger, der Gemeine
the commotion;	die Aufregung, der Aufruhr, Eklat
the complacency;	                die Selbstgefälligkeit, Selbstzufriedenheit | das Wohlbehagen
the compunction;	das Bedenken, die Gewissensbisse, die Reue
the confluence;	der Zusammenfluss, die Einmündung
the conjuror;	der Taschenspieler, Zauberer
the contention;	der Streit, die Auseinandersetzung | die Behauptung
the cooking gear;	        das Kochgerät
the countenance;	die Fassung, Haltung | die Miene
the crack;	der Bruch, die Fehlstelle
the crag;	                        der Felsen, die Klippe
the crease;	                        die Falte, der Knitter, die Bügelfalte, 
the creditor;	der Kreditgeber
the creek;	der Bach, das Flüsschen, die schmale Bucht
the crone;	altes Weib
the crouch;	                die Hocke
the crud;	                        der Dreck
the culprit;	                der Angeklagte, Beschuldigte, Schuldige
the curb;	                die Bordsteinkante
the curlicue;	                der Schnörkel
the daisy;	                das Gänseblümchen
the daze;	der Dusel (Schwindelgefühl)
the deadpan;	                das Pokerface
the debris;	                der Schutt, die Trümmer, das Geröll
the deceit;	die Betrügerei, die Täuschung
the decency;	der Anstand, die Ehrsamkeit, die Schicklichkeit
the deep fryer;	die Fritteuse
the deep ocean trench;	                der Tiefseegraben
the dent;	                die Beule, Delle, Einkerbung
the deviousness;	        die Doppelzüngigkeit
the dinghy;	das Beiboot, Schlauchboot
the dipstick;	                der Messstab, Ölmessstab
the ditch;	                der Bach | Graben, Straßengraben
the draft dodger;	der Wehrdienstverweigerer
the duckbill;	                das Schnabeltier
the dug;	                die Zitze
the echelon;	                die Stufe, Staffelung
the elocution;	gewählte Aussprache, die Diktion, Redekunst
the endowment;	die Ausstattung | Begabung | Schenkung
the excavation;	                die Ausgrabung
the fad;	                die Marotte, Laune, Masche 
the faintheartedness;	                der Kleinmut, die Mutlosigkeit
the faucet;	                der Wasserhahn (amerk.)
the ferment;	der Gärstoff
the figment;	die Erfindung, Produkt der Einbildung
the flare;	                die Fackel | das Leuchtgeschoss
the flock;	                die Flocke | der Schwarm
the fountainhead;	                die Urquelle
the frill;	                        die Krause, Rüsche
the fringe;	die Fransen, der Saum
the funk;	                die Mordsangst, der Drückeberger, Angsthase
the furnace;	                der Brennofen, Schmelzofen
the gale;	der Sturm
the galley;	die Galeere | Kombüse
the garment;	                die Bekleidung, das Kleidungsstück
the gibberish;	das Gequassel
the Gilded Age;	                        die Blütezeit (der amerikanischen Wirtschaft: 1870-1898)
the gingerbread;	der Lebkuchen
the glimpse;	                der flüchtige Blick
the Godhead;	                        die Gottheit
the goof;	die Albernheit
the gorge;	                die Klamm, Schlucht
the gosling;	das Gänschen
the gourd;	die Schale | der Kürbis
the gracelessness;	die Reizlosigkeit | Schamlosigkeit
the grate;	                das Gitter, der Rost
the gravel;	                der Kies, der Schotter
the grease;	                das Schmiermittel, Fett
the grip;	                der Griff
the groceries;	die Lebensmittel
the grove;	                die Baumgruppe, der Hain
the gumption;	                        der Grips
the gust;	                der Windstoß, die Bö
the hatch;	die Einstiegsluke, die Klapptür
the havoc;	                das Chaos, die Verwüstung
the haze;	                        der Dunst, Schleier, Nebel, die Eintrübung
the hillbilly;	                der Hinterwäldler
the hindsight;	                nachträgliche Einsicht, späte Einsicht
the hulk;	der Schiffsrumpf (Seefahrt)
the hush;	                das Schweigen, die Stille
the hustler;	der Gauner | die Nutte
the idle;	der Leerlauf
the impaction;	                        der Einschlag
the impasse;	                die Sackgasse
the inkling;	                die Ahnung, Andeutung
the inscrutability;	        die Unergründlichkeit, Unerforschlichkeit
the interconversion;	                gegenseitige Umwandlung
the jellyfish;	die Qualle
the jumble;	                das Durcheinander, der Kuddelmuddel
the kindling;	                der Span, das Anmachholz
the knack;	                der Kniff, Trick
the knoll;	                der (kleine) Hügel
the latching;	die Arretierung, das Einrasten
the ledge;	das Fensterbrett
the letdown;	                die Enttäuschung, der Reinfall
the libel;	die Beleidigung, üble Nachrede, Verleumdung
the litter;	                        der Abfall, Müll | die Sänfte
the lodge;	das Häusche, die Hütte
the lore;	                die Lehre
the lubrication;	        die Ölung, das Schmieren
the mansion;	                das Herrenhaus
the marsh;	                das Moor, Sumpfland
the marvel;	das Wunder, Wunderwerk
the menace;	                die Bedrohung, Gefahr | Plage
the mooring;	der Ankerplatz
the muck;	                der Dreck
the mumbo-jumbo;	                der Hokuspokus, der Kauderwelsch
the nettle;	die Nessel, Brennessel
the nibble;	                        kleines Stück
the notch;	die Aussparung, Einbuchtung
the numbskull;	                der Idiot, Dummkopf
the oath;	der Eid, der Fluch, die Verwünschung
the odometer;	                        der Entfernungsmesser, Kilometerzähler
the onlooker;	der Schaulustige, Zaungast
the opprobrium;	die Schande, Schmach
the orchard;	                der Obstgarten, die Obstplantage
the pajamas;	der Pyjama (amerk.)
the pale;	der Pfahl, Zaunpfahl
the pallor;	                die Blässe
the pannier;	                        der Tragkorb, die Fahrradtasche
the pariah;	der Ausgestoßene, Geächtete
the parishioner;	        das Gemeindemitglied
the peacock;	der eitle Geck
the penitentiary;	das Gefängnis, die Besserungsanstalt
the penmanship;	                die Schreibkunst
the pennant;	das Fähnchen, die Standarte, das Banner
the perjury;	                der Eidbruch, Meineid
the phoniness;	                        die Falschheit
the platypus;	das Schnabeltier
the plumb-line;	                das Lot, Senklot
the plywood;	das Sperrholz
the populace;	die Bevölkerung, das Volk
the porch;	                das Vordach, Wetterdach, Windfang
the porthole;	das Bullauge | die Luke
the predilection;	        die Vorbliebe
the primacy;	der Vorrang, die Vorrangstellung
the pulmonary artery;	
the punch;	                der Fausthieb, Faustschlag
the quandary;	                        das Dilemma, die Verlegenheit, Zwickmühle
the ravine;	                        der Hohlweg, die Schlucht, die Klamm
the rebuke;	                der Rüffel, Tadel
the rendition;	die Verkündung, Urteilsprechung | die Darbietung, Wiedergabe
the repercussion;	        die Nachwirkung, Auswirkung, der Rückstoß
the ridge;	                der Bergrat, Bergrücken, Gebirgskamm
the ripple;	die Welle, Wellung
the rivulet;	                        der Bach, das Flüsschen
the rocking chair;	        der Schaukelstuhl
the rotisserie;	                der Grill
the rut;	                die Furche, Radspur, Spurrinne
the sag;	                        die Senkung
the sapling;	                junger Baum
the savior;	der Heiland | Retter
the scorn;	der Hohn, die Verachtung
the scoundrel;	der Halunke, Schuft, Schurke
the scrutiny;	die genaue Prüfung
the seclusion;	die Abgeschiedenheit, Abgeschlossenheit, Verborgenheit
the seizure (motor)l;	        das Festfressen
the shank;	                        der Schaft
the shower of ticker tape;	der Konfettiregen
the shrub;	                der Strauch, die Staude
the silt;	                der Schlamm, Lehm
the slab;	                die Platte, Scheibe, Tischplatte (alles was flach ist)
the slack;	                die Flaute, der Stillstand
the slant;	                die Schräge | Meinung, Einstellung
the slash;	der Hieb, Schnitt | Strich
the slippage;	                        das Gleiten, der Schlupf, das Rutschen
the slips of paper;	die Papierzettel
the slot;	                        der Schlitz, die Aussparung, die Nut, Nische, Kerbe
the slough;	                der Sumpf
the slump;	                die Abkühlung, der Abschwung, der Einbruch
the smelter;	                        die Schmelze, der Schmelzer
the smokestack;	der Schornstein
the snapper;	der Schnapper
the snort;	                das Prusten, Schnauben
the snug;	                das Nebenzimmer (in einer Gaststätte)
the sobriety;	die Ernsthaftigkeit, Nüchternheit
the soot;	                der Ruß
the stamina;	                die Ausdauer, das Durchhaltevermögen
the steeple;	der Turm, Kirchturm
the streak;	                der Streifen | die Faser | die Spur | der Charakterzug
the stud;	                der Bolzen, Dübel
the surge;	die Druckwelle, plötzlicher Anstieg, die Flut, der Schub, Schwall
the sweep;	                die Peilung
the swell;	                die Ausbuchtung
the swing;	die Schaukel | das Schwingen
the swirl;	der Strudel, die Verwirbelung, der Wirbel
the switchback;	                die Serpentine, Spitzkehre
the sycophant;	der Kriecher, Schmeichler
the tan;	                die Bräune
the tangle;	das Durcheinander, Gewirr, Wirrwarr | der Tang
the tedium;	                die Eintönigkeit, Langeweile, Überdruss
the temperance;	die Mäßigung, Mäßigkeit
the tenet;	                der Grundsatz, die Lehre, der Lehrsatz, das Theorem
the thrust;	der Schub, die Schubkraft
the thunderhead;	        schwere Gewitterwolke
the tier;	                die Etage, Stufe, Schicht
the timber;	                das Holz
the timberland;	                das Waldland
the timberline;	                die Baumgrenze
the tinsel;	                        das Lametta, der Glitzerschmuck
the tote bag;	die Einkaufstasche, Tragetasche
the trance;	                die Trance
the tread;	                das Reifenprofil
the valedictorian;	der Abschiedsredner
the vantage point;	                der Aussichtspunkt, günstiger Ausgangspunkt, der Blickwinkel
the vaudeville;	das Varieté
the veer;	                das Ausscheren
the veneer;	                        die Fassade
the verity;	                        die Wahrheit
the vestige;	                die Spur, das Überbleibsel, der Rest
the villain;	                der Bösewicht, Gauner, Schuft
the warden;	                der Aufseher, Leiter, Wächter, Herbergsvater
the weed;	                das Gras | das Unkraut
the whore;	die Hure, Nutte
the wince;	das Zucken, Zusammenzucken
the winch;	die Seilwinde
the wisp;	                das Haarbüschel, Strohbündel, der Wisch
the wrath;	                die Wut, der Zorn
the wrinkle;	                die Falte, Hautfalte | der Kniff, Trick
the yeoman;	der Freibauer, kleiner Grundbesitzer
tidy;	                        aufgeräumt, ordentlich
to abhor sth.;	etwas hassen, verabscheuen
to absolve;	                entbinden, freisprechen, lossprechen
to adorn;	schmücken, verzieren
to aggravate;	erschweren, verschlimmern, verstärken | ärgern, reizen
to allot;	                bewilligen, zumessen, zuordnen, zuteilen
to assail sb.;	                jmd. angreifen, scharf attackieren, überfallen
to babble;	                das Geplapper, Geschwätz
to baffle;	                täuschen, durchkreuzen, jmd. verblüffen
to bar;	abriegeln, sperren, verbieten
to bellow;	                brüllen, grölen
to be lulled by sth.;	        von etwas eingelullt / eingeschläfert sein        
to be outdoorsy;	gern an der frischen Luft sein
to berth;	ankern, vor Anker gehen
to bewail sth.;	etwas bedauern, beklagen
to blare;	brüllen, schmettern
to botch;	                pfuschen, sudeln
to brag;	angeben, aufschneiden
to breach;	übertreten, verletzen, verstoßen gegen
to brood;	brüten, grübeln
to buzz;	                brummen, schwirren, summen
to chide;	                schelten
to chirp;	                zirpen, zwitschern
to clam;	hemmen
to clatter;	                klappern, klirren, rasseln
to cling to sth.;	an etw. festhalten, hängen
to confer;	gewähren
to conk sb.;	jmd. eins auf die Rübe geben
to corroborate sth.;	etw. bekräftigen, erhärten, untermauern
to crank sth. up;	        etwa. ankurbeln, aufdrehen
to creep;	                fließen, kriechen, schleichen
to crick sth.;	                sich etwas verrenken
to cudgel;	prügeln, verprügeln
to cup one's hands around sth.;	die Hände schützend um etwas legen
to dandle;	schaukeln, wiegen
to dazzle;	blenden, schillern
to demean;	                erniedrigen
to demote sb.;	jmd. degradieren, zurückstufen
to demur;	                Bedenken äußern, Einspruch erheben
to devour;	auffressen, verschlingen, vertilgen
to dissemble;	                demontieren
to drag;	                nachschleppen, schleifen
to elude;	                        entkommen, umgehen
to emanate;	ausstrahlen, ausströmen
to enmesh;	                umgarnen, verstricken
to enshroud sth.;	etw. einhüllen, verhüllen
to eulogize;	                        eine Lobesrede halten, preisen
to fathom;	                        ausloten, erforschen, auf den Grund gehen, sondieren
to fathom sth.;	                etwas ausloten, ergründen 
to feel estranged;	sich entfremdet fühlen
to flaunt;	herumstolzieren,
to flay sb.;	jmd. das Fell gerben, das Fell versohlen
to forge ahead;	                        sich an die Spitze drängen, sich vorankämpfen
to furl;	aufrollen, zusammenklappen
to gab;	plappern, quasseln, quatschen
to get tangled up;	        sich verheddern
to go haywire;	                drunter und drüber gehen
to goof;	                vermasseln
to grab;	                        fassen, packen, grabschen
to guzzle;	                        futtern, saufen, schlucken
to hack;	                        hacken
to hanker for sth.;	sich nach etwas sehnen
to hark back to sth.;	        auf etwas zurückgreifen
to hark;	                horchen
to haul sth. back;	        etwas zurück befördern
to heed sth.;	                        etwas beachten
to heel;	überholen | überfliegen
to holler;	                brüllen
to honk;	                hupen | auch kotzen
to hound sb.;	jmd. belästigen, jagen, verfolgen
to hover;	schweben
to intuit;	durch Intuition erkennen, intuitiv erkennen
to invigorate;	                beleben, kräftigen, stärken
to jolt;	                anstoßen, rütteln, schütteln
to loom;	                sich abzeichnen, aufragen
to louse sth. up;	        etw. in den Sand setzen, vermasseln 
to malign;	                schlecht machen, verleumden
to mesmerize;	                        hypnotisieren
to mingle;	                sich unter die Leute mischen
to mingle sth.;	                etw. mischen, vermischen, vermengen
to moor;	festmachen, vor Anker gehen, vertäuen
to nudge sb.;	jmnd. anstupsen, anschubsen
to obliterate;	auslöschen, ausmerzen | verdecken, verwischen
to outflank sth.;	etwas strategisch umgehen
to pander to sth.;	an etwas appellieren | etwas begünstigen
to pen sth.;	                etwas niederschreiben
to perjure;	einen Meineid leisten
to pile off;	                (sich) hinausdrängen
to poke;	herumstochern, schüren
to portend;	hindeuten, hinweisen
to pound;	                hämmern, klopfen, stampfen
to prorate sth.;	        etwas aufteilen, umlegen, anteilig verteilen
topsy-turvy;	                auf den Kopf gestellt, drunter und drüber, umgedreht
to puff;	                        blasen, pusten
to purport sth.;	        etwas behaupten, vorgeben
to raft;	flößen
to rail;	fluchen
to recant;	widerrufen
to reckon sth.;	                etwas ausrechnen, berechnen, kalkulieren
to redeem sth.;	                etw. tilgen
to replenish;	                auftanken
to revamp sth.;	etwas ausbessern, umgestalten, reorganisieren
to rinse;	spülen, wässern, durchwaschen
to roar;	                brüllen, rattern, tosen
tortuous;	                        gewunden
to rub sth. out;	        etwas ausradieren, löschen, auswischen
to rummage;	                kramen, stöbern, wühlen
to scant sth.;	                        mit etwas knausern
to scorch;	                verbrennen, verschmoren, versengen        
to scowl;	                finster blicken
to scramble;	klettern, krabbeln
to sensitize;	                        sensibilisieren, empfindlich machen
to shelter sb.;	                jmd. beherbergen
to shiver;	                erschauern, zittern, frösteln
to shove;	                drängeln
to shovel sth.;	etw. schaufeln, schippen
to shroud sth.;	etwas bedecken
to skim;	                abschöpfen, abstreichen, glätten
to skirt;	                entgehen, vorbeiführen
to skulk;	                hermuschleichen, sich versteckt halten
to slam;	                heftig zuschlagen, zuknallen
to slander;	übel nachreden
to slight sb.;	jmd. beleidigen | jmd. ignorieren
to slop;	                schwappen, überschwappen
to slosh around;	        herumspritzen, herumschwappen
to slough;	sich ablösen
to smirk;	                blöd grinsen, hämisch grinsen, süffisant lächeln
to smother;	                dämpfen, ersticken, unterdrücken
to snap into place;	                einrasten
to sneak;	                petzen | schleichen | stibitzen
to snuggle;	sich anschmiegen, kuscheln, liebkosen
to soak;	                sich vollsaugen
to spoof sb.;	                jem. veralbern, verkohlen        
to sputter;	                sprudeln, sprühen, zerstäuben
to squint;	                blinzeln, schielen, zwinkern
to squirt;	                herausspritzen, spritzen, sprühen
to steer;	lenken, steuern
to stew sth.;	                        etw. dämpfen, dünsten, schmoren
to stiffen;	steif machen, steif werden, verfestigen, versteifen
to stratify;	schichten
to stun;	                betäuben
to subjugate;	bezwingen, unterjochen
to succumb;	unterliegen
to swat;	                quetschen | eine Fliege totschlagen
to sway sb.;	jmd. beeinflussen, beherrschen, bewegen
to swell up;	anschwellen
to swerve;	                abschwenken, ausbrechen, ausweichen
to tailgate;	                dicht hinter jem. herfahren
to take issue with sth.;	        mit etwas nicht einverstanden sein
to tar sth.;	etw. teeren
to teeter;	taumeln, wippen
to tether;	anbinden
to  thaw;	                tauen, auftauen
to thrash sb.;	                jmd. verhauen, durchprügeln
to thrash sth.;	                etwas ausarbeiten, ausdiskutieren
to tuck;	                falten
to tumble;	                taumeln, purzeln, rotieren
to twiddle sth.;	        an etw. drehen
to wane;	                        abflauen, abnehmen, geringer werden
to warp sth.;	                etwas krümmen
to weave back;	                sich schlängeln | weben
to whack;	                schlagen, verhauen
to wiggle;	                schlängeln, wackeln
to wreak;	                anrichten, verursachen | üben | nehmen
to wriggle;	                        schlängeln, sich winden
to yank sth.;	                an etwas zerren, ziehen
unobstrusive;	                bescheiden, dezenz, unaufdringlich
unselective;	                        nicht wählerisch
varnished;	                übertüncht, verschönt, ausgeschmückt
velvet;	                                aus Samt, samten
villainous;	                miserabel, schurkisch, abgefeimt
vindictive;	                rachsüchtig
waxen;	                        wachsartig, wächsern, wie Wachs
welding;	                die Schweißarbeit, das Schweißen
wicked;	böse, boshaft, gefährlich
wretched;	elend, erbärmlich, bemitleidenswert, jämmerlich, verachtungswürdig
