accadere;	sich ereignen, geschehen
il cenno;	das Anzeichen, Symptom
il ciglio;	die Wimper
il ciuffo;	das Haarbüschel
il custode;	der Hausmeister, Aufseher
il diluvio;	die Flut
il disagio;	das Unbehagen, die Unbequemlichkeit | die Befangenheit
il fagotto;	das Bündel
il fastidio;	der Ärger, Ekel, die Sorge, Störung, das Ungemach,...
il fiato;	der Atem, die Puste
il fornaio;	der Bäcker
il fruscio;	das Rascheln, Knistern
il gemito;	die Klage, das Stöhnen
il ghiacciolo;	das Wassereis
il gradino;	die Stufe, Treppenstufe
il guaio;	der Schlamassel
il guizzo;	das Flackern, Zucken
il inchino;	der Knicks, die Verbeugung, Verneigung
il ingresso;	der Eingang
il lattante;	der Säugling
il lavandino;	das Spülbecken, Waschbecken
il manico della scopa;	der Besenstil
il mucchietto;	das Häufchen
il paio;	das Paar
il pallone;	der Ball, Ballon
il paraggio;	die Gegend
il pelo;	der Pelz, das Haar
il poveretto;	der Popel, armer Mensch
il pupo;	das Kind
il rapace;	der Raubvogel
il ripostiglio;	die Abstellkammer
il rombo;	der Donner, das Dröhnen
il sobborgo;	der Vorort
il soggiorno;	das Wohnzimmer | der Aufenthalt
il stormo;	der Schwarm
il taglio;	der Einschnitt
il tasso;	der Dachs
il testone;	der große Kopf | Dickkopf, Trotzkopf
il timore;	die Angst
il tiro;	der Streich (Jux)
il trapano;	die Bohrmaschine
il vecchietto;	das alte Männlein
il veicolo;	das Fahrzeug, Gefährt
il vialetto;	der kleine Weg
imbattuto;	ungeschlagen
incalzare;	drängen, hetzen, verfolgen
incalzare;	drängen, hetzen, verfolgen
inciampare;	stolpern
indossare qc;	etwas anziehen
infagottare qc.;	etwas einpacken, zu einem Bündel zusammenpacken
infilare qc.;	etwas einfädeln, durchbohren | anziehen
in fin dei conti;	letzten Endes, alles in allem
inforcare qc.;	etwas aufgabeln
inforcare qc.;	etwas aufgabeln
in qualsiasi momento;	jederzeit
insolito;	außerordentlich, ungewöhnlich
intanto;	dabei, indessen, inzwischen
ispido;	rauh, kratzbürstig
la camera da letto;	das Schlafzimmer
la canaglia;	der Schuft, Schurke, Schweinehund
la cautela;	die Vorsicht, Vorsichtsmaßnahme
la cinepresa;	die Filmkamera
la coppia;	das Paar
l'addestramento (m);	die Dressur, Abrichtung
la ditta;	die Firma
la faccenda;	die Angelegenheit, Affäre, Sache
la fessura;	der Schlitz
la fibbia;	die Schnalle, Spange
la fiera;	das Raubtier
la ghenga;	die Clique
la giostra;	das Karussel
la lince;	der Luchs
la manina;	das Händchen
l'ambito (m);	das Sachgebiet
la melanzana;	die Aubergine
la mensola;	die Ablage, das Brett
l'angioletto (m);	das Engelchen
l'anziana;	die Alte
la pancia;	der Bauch, Wanst
la parrucca;	die Perrücke
la postazione;	der Posten, Standort
la rabbia;	der Wut, Zorn | das Toben
l'araldica (f);	die Heraldik, Wappenkunde
la risma;	die Art, Gattung
la saetta;	der Blitz
la schiena;	der Rücken
la scivolata;	der Rutsch
la siepe;	die Hecke
la soglia;	die Schwelle
la spiaggia;	der Strand
la spira;	die Windung
l'assonanza (f);	der Gleichklang, die Übereinstimmung
la stella cadenta;	die Sternschnuppe
la stupidaggine;	die Dummheit, Albernheit
la teca;	der Schaukasten
l'attesa (f);	das Warten, die Erwartung, die Wartezeit
l'attimo (m);	der Augenblick, Moment
la valigetta;	kleiner Koffer, Köfferchen
la zecca;	die Münze | die Zecke
lieve;	dünn, leicht, mild, sanft
l'occhiata;	der Blick, der Seitenblick
lo scatto;	der Auslöser, Einfall
lo scatto;	der Einfall | Ruck | die Zuckung
lo sciocchezze;	dummes Zeug
lo spillo;	die Haarnadel, Stecknadel
lo spintone;	der Knuff, heftiger Stoß
lo stemma;	das Wappen
lo stento;	die Entbehrung
lo sventato;	der Windhund (flatterhafter Mensch)
lo sventato;	der Windhund (flatterhafter Mensch)
l'ululato (m);	das Geheul
lusingare qn.;	jmd. schmeicheln
mai;	nie
malinconico;	melancholisch, schwermütig
matto;	verrückt
mentre;	derweil,während
mica;	nicht | doch, ja in Negativsätzen
mingherlino;	schmächtig
mollare;	aufgeben, hinschmeißen
mormorare;	murmeln
ne;	in, daraus, davon (in der Nacht)
nerboruto;	muskulös, sehnig
nodoso;	knorrig, knotig
palese;	augenscheinlich, offenbar
paonazzo;	hochrot, violett
peggio;	schlechter, schlimmer
percorrere qc.;	etwas abfahren, durchlaufen
per quanto;	sofern, soweit | wobei, so sehr auch
pressoché;	beinahe
pullulare;	strotzen, wimmeln
qualsiasi;	irgendein, jeder beliebige, jeder
quindi;	also, daher, alsdann, dementsprechend
rabbioso;	heftig, rabiat, rasend, wütend
rado;	rar, spärlich
reggere qc.;	etwas halten | leiten | tragen
ricurvo;	krumm
ridacchiare;	kichern, schmunzeln
riferire qc;	etwas beschreiben, melden
rimare qc;	etwas reimen
rimbeccare qc.;	etwas entgegnen, jmd. widersprechen
riprendere;	wieder anfangen
rovistare;	durchstöbern, durchwühlen
sbarrare qc;	ewas absperren, versperren
sbottare in qc;	mit etwas herausplatzen
sbraitare;	poltern
scagliare qc.;	etwas schleudern
scattare;	aufschnappen | losschießen | schalten | schnappen
scavalcare qc.;	etwas übergehen, überspringen, überklettern, überwinden
scivolare;	abgleiten, rutschen, gleiten
scombussolato;	durcheinander, verwirrt
scommettere qc.;	um etwas wetten
scomparire;	verschwinden
scomparso;	verschollen, verschwunden
scompigliare qc.;	etwas zerwühlen
scomporre;	etwas zerlegen, auseinandernehmen
scosso;	erschüttert
scrutare qc;	etwas durchschauen
sebbene;	obgleich, obwohl, wenngleich
sfrecciare;	rasen
sgrammaticato;	grammatisch falsch
sibilante;	zischend
smesso;	abgelegt, benutzt (von Kleidern)
sopravvissuto;	überlebt
sorseggiare;	schlürfen
sprovvisto;	unversorgt
spuntare;	abbrechen, herausbrechen, durchbrechen, gebinnen
spuntato;	stumpf
squillare;	erschallen, läuten
steso;	ausgebreitet
strabiliante;	erstaunlich
strambo;	skurril, verquer
stravagante;	extravagant, seltsam, sonderbar
stridulo;	schrill
su (prep.);	an, auf (Präp.)
svanire;	verfliegen, verschwinden
svignare;	ausreißen, sich davon machen
talvolta;	bisweilen, manchmal
tamburare;	trommeln
tocco;	bekloppt, plemplem
tolto;	entzogen
trangugiare qc.;	etwas hinunterschlucken
trasalire;	auffahren, zusammenfahren, aufschrecken
trascinare qc.;	etwas fortschleppen
tuffare qc.;	etwas tauchen
turbare;	stören, verwirren
urlare;	brüllen,heulen
viola;	violett
